Teacher,Designation,Day,Time,Subject,Section,Room,Type
Assistant Professor 3,Assistant Professor,Tuesday,15:30-16:30,Engineering Mathematics,CSBS_S1_A,CR_3,THEORY
Assistant Professor 3,Assistant Professor,Wednesday,09:30-10:30,Communication Skills,CSBS_S1_A,CR_2,THEORY
Assistant Professor 3,Assistant Professor,Thursday,09:30-10:30,Engineering Mathematics,CSBS_S1_B,CR_2,THEORY
Assistant Professor 3,Assistant Professor,Thursday,12:40-13:30,Engineering Mathematics,CSBS_S1_B,CR_4,THEORY
Assistant Professor 3,Assistant Professor,Friday,08:30-09:30,Engineering Mathematics,CSBS_S1_A,CR_3,THEORY
Assistant Professor 3,Assistant Professor,Friday,11:50-12:40,Engineering Mathematics,CSBS_S1_B,CR_4,THEORY
Assistant Professor 3,Assistant Professor,Friday,15:30-16:30,Communication Skills,CSBS_S1_B,CR_4,THEORY
Assistant Professor 3,Assistant Professor,Saturday,11:00-11:50,Communication Skills,CSBS_S1_B,CR_4,THEORY
Assistant Professor 3,Assistant Professor,Saturday,15:30-16:30,Engineering Mathematics,CSBS_S1_A,CR_5,THEORY
Assistant Professor 4,Assistant Professor,Tuesday,08:30-09:30,Software Engineering,ISE_S5_A,CR_3,THEORY
Assistant Professor 4,Assistant Professor,Tuesday,11:00-11:50,Cloud Computing,CSBS_S5_A,CR_7,THEORY
Assistant Professor 4,Assistant Professor,Tuesday,11:50-12:40,Software Engineering,CSBS_S5_A,CR_7,THEORY
Assistant Professor 4,Assistant Professor,Tuesday,12:40-13:30,Software Engineering,ISE_S5_B,CR_1,THEORY
Assistant Professor 4,Assistant Professor,Tuesday,15:30-16:30,Software Engineering,ISE_S5_B,CR_1,THEORY
Assistant Professor 4,Assistant Professor,Wednesday,08:30-09:30,Cloud Computing,ISE_S5_B,CR_2,THEORY
Assistant Professor 4,Assistant Professor,Wednesday,11:00-11:50,Cloud Computing,CSBS_S5_A,CR_6,THEORY
Assistant Professor 4,Assistant Professor,Wednesday,11:50-12:40,Software Engineering,CSBS_S5_A,CR_6,THEORY
Assistant Professor 4,Assistant Professor,Wednesday,15:30-16:30,Software Engineering,CSBS_S5_A,CR_6,THEORY
Assistant Professor 4,Assistant Professor,Thursday,11:50-12:40,Software Engineering,ISE_S5_B,CR_3,THEORY
Assistant Professor 4,Assistant Professor,Thursday,15:30-16:30,Cloud Computing,ISE_S5_B,CR_2,THEORY
Assistant Professor 4,Assistant Professor,Saturday,08:30-09:30,Cloud Computing,ISE_S5_B,CR_1,THEORY
Assistant Professor 4,Assistant Professor,Saturday,11:00-11:50,Cloud Computing,CSBS_S5_A,CR_5,THEORY
Assistant Professor 4,Assistant Professor,Saturday,11:50-12:40,Software Engineering,ISE_S5_A,CR_3,THEORY
Assistant Professor 4,Assistant Professor,Saturday,15:30-16:30,Software Engineering,ISE_S5_A,CR_4,THEORY
Assistant Professor 5,Assistant Professor,Tuesday,08:30-09:30,Project Management,CSBS_S7_A,CR_6,THEORY
Assistant Professor 5,Assistant Professor,Tuesday,12:40-13:30,Distributed Systems,CSBS_S7_A,CR_5,THEORY
Assistant Professor 5,Assistant Professor,Wednesday,08:30-09:30,Project Management,ISE_S7_B,CR_3,THEORY
Assistant Professor 5,Assistant Professor,Wednesday,11:00-11:50,Project Management,CSBS_S7_A,CR_7,THEORY
Assistant Professor 5,Assistant Professor,Thursday,08:30-09:30,Distributed Systems,CSBS_S7_A,CR_4,THEORY
Assistant Professor 5,Assistant Professor,Thursday,11:00-11:50,Project Management,ISE_S7_B,CR_4,THEORY
Assistant Professor 5,Assistant Professor,Thursday,16:30-17:30,Distributed Systems,ISE_S7_B,CR_4,THEORY
Assistant Professor 5,Assistant Professor,Friday,11:00-11:50,Distributed Systems,ISE_S7_B,CR_4,THEORY
Assistant Professor 5,Assistant Professor,Friday,12:40-13:30,Project Management,CSBS_S7_A,CR_5,THEORY
Assistant Professor 5,Assistant Professor,Friday,16:30-17:30,Distributed Systems,ISE_S7_B,CR_3,THEORY
Assistant Professor 5,Assistant Professor,Saturday,08:30-09:30,Distributed Systems,CSBS_S7_A,CR_4,THEORY
Assistant Professor 5,Assistant Professor,Saturday,12:40-13:30,Project Management,ISE_S7_B,CR_1,THEORY
Assistant Professor 5,Assistant Professor,Saturday,14:30-15:30,Machine Learning Lab,ISE_S5_B,LAB_1,LAB
Assistant Professor 6,Assistant Professor,Monday,11:50-12:40,Deep Learning,ISE_S7_A,CR_3,THEORY
Assistant Professor 6,Assistant Professor,Monday,12:40-13:30,Project Management,ISE_S7_A,CR_2,THEORY
Assistant Professor 6,Assistant Professor,Monday,15:30-16:30,Natural Language Processing,ISE_S7_B,CR_2,THEORY
Assistant Professor 6,Assistant Professor,Tuesday,08:30-09:30,Deep Learning,ISE_S7_A,CR_4,THEORY
Assistant Professor 6,Assistant Professor,Tuesday,09:30-10:30,Natural Language Processing,ISE_S7_A,CR_2,THEORY
Assistant Professor 6,Assistant Professor,Tuesday,15:30-16:30,Deep Learning,ISE_S7_B,CR_2,THEORY
Assistant Professor 6,Assistant Professor,Wednesday,11:00-11:50,Deep Learning,ISE_S7_B,CR_3,THEORY
Assistant Professor 6,Assistant Professor,Wednesday,11:50-12:40,Deep Learning,ISE_S7_A,CR_3,THEORY
Assistant Professor 6,Assistant Professor,Wednesday,12:40-13:30,Project Management,ISE_S7_A,CR_5,THEORY
Assistant Professor 6,Assistant Professor,Wednesday,14:30-15:30,Natural Language Processing,ISE_S7_A,CR_3,THEORY
Assistant Professor 6,Assistant Professor,Thursday,11:00-11:50,Natural Language Processing,ISE_S7_A,CR_3,THEORY
Assistant Professor 6,Assistant Professor,Friday,15:30-16:30,Natural Language Processing,ISE_S7_B,CR_3,THEORY
Assistant Professor 6,Assistant Professor,Saturday,08:30-09:30,Project Management,ISE_S7_A,CR_2,THEORY
Assistant Professor 6,Assistant Professor,Saturday,11:00-11:50,Natural Language Processing,ISE_S7_B,CR_3,THEORY
