Teacher,Designation,Day,Time,Subject,Section,Room,Type
Professor 3,Professor,Wednesday,11:00-11:50,Machine Learning,ISE_S5_B,CR_2,THEORY
Professor 3,Professor,Wednesday,11:50-12:40,Data Mining,ISE_S5_A,CR_1,THEORY
Professor 3,Professor,Wednesday,12:40-13:30,Machine Learning,ISE_S5_B,CR_4,THEORY
Professor 3,Professor,Thursday,15:30-16:30,Big Data Analytics,ISE_S7_B,CR_4,THEORY
Professor 3,Professor,Thursday,16:30-17:30,Data Mining,ISE_S5_B,CR_2,THEORY
Professor 3,Professor,Friday,09:30-10:30,Data Mining,ISE_S5_A,CR_3,THEORY
Professor 3,Professor,Friday,15:30-16:30,Data Mining,ISE_S5_B,CR_2,THEORY
Professor 3,Professor,Friday,16:30-17:30,Data Mining,ISE_S5_B,CR_2,THEORY
Professor 3,Professor,Saturday,09:30-10:30,Machine Learning,ISE_S5_B,CR_1,THEORY
Professor 3,Professor,Saturday,11:50-12:40,Big Data Analytics,ISE_S7_B,CR_5,THEORY
Professor 3,Professor,Saturday,16:30-17:30,Data Mining,ISE_S5_A,CR_3,THEORY
Professor 4,Professor,Monday,09:30-10:30,Big Data Analytics,CSBS_S7_A,CR_4,THEORY
Professor 4,Professor,Monday,14:30-15:30,Physical Education,ISE_S7_B,CR_5,PE
Professor 4,Professor,Tuesday,09:30-10:30,Deep Learning,CSBS_S7_A,CR_4,THEORY
Professor 4,Professor,Tuesday,14:30-15:30,Physical Education,"ISE_S7_A,CSBS_S7_A",CR_5,PE
Professor 4,Professor,Wednesday,14:30-15:30,Physical Education,ISE_S7_B,CR_6,PE
Professor 4,Professor,Wednesday,16:30-17:30,Big Data Analytics,ISE_S7_A,CR_2,THEORY
Professor 4,Professor,Thursday,11:00-11:50,Big Data Analytics,CSBS_S7_A,CR_7,THEORY
Professor 4,Professor,Thursday,14:30-15:30,Physical Education,"ISE_S7_A,CSBS_S7_A",CR_5,PE
Professor 4,Professor,Thursday,16:30-17:30,Big Data Analytics,ISE_S7_A,CR_3,THEORY
Professor 4,Professor,Friday,11:00-11:50,Big Data Analytics,CSBS_S7_A,CR_7,THEORY
Professor 4,Professor,Friday,15:30-16:30,Deep Learning,CSBS_S7_A,CR_7,THEORY
Professor 4,Professor,Saturday,11:00-11:50,Deep Learning,CSBS_S7_A,CR_6,THEORY
Professor 4,Professor,Saturday,11:50-12:40,Big Data Analytics,ISE_S7_A,CR_4,THEORY
